epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2026.57,0.15911,0.53266,0.83753,0.90511,0.85982,0.90626,0.57174,1.35536,1.62711,1.6364,0.0001981,0.0001981,0.0001981
83,2051.11,0.16183,0.53396,0.83786,0.89567,0.85637,0.90251,0.56911,1.38439,1.559,1.70025,0.0001882,0.0001882,0.0001882
84,2075.77,0.16599,0.53436,0.83394,0.89237,0.85683,0.90194,0.57211,1.34595,1.5646,1.62176,0.0001783,0.0001783,0.0001783
85,2100.39,0.15919,0.52838,0.83166,0.89748,0.8517,0.90314,0.57592,1.36105,1.57155,1.64771,0.0001684,0.0001684,0.0001684
86,2125.04,0.15772,0.52725,0.83526,0.89873,0.86035,0.90651,0.5765,1.37256,1.59772,1.64286,0.0001585,0.0001585,0.0001585
87,2149.66,0.15497,0.52082,0.83105,0.90386,0.85828,0.91136,0.57664,1.40086,1.62413,1.67905,0.0001486,0.0001486,0.0001486
88,2174.68,0.15936,0.52582,0.8356,0.89164,0.85478,0.90678,0.57333,1.41994,1.66041,1.69745,0.0001387,0.0001387,0.0001387
89,2199.34,0.15807,0.5213,0.83109,0.89373,0.8563,0.90586,0.57824,1.42273,1.66595,1.68439,0.0001288,0.0001288,0.0001288
90,2224.04,0.15382,0.51744,0.83365,0.87717,0.86521,0.90346,0.57628,1.40332,1.64017,1.68112,0.0001189,0.0001189,0.0001189
91,2251.28,0.16362,0.50238,0.81637,0.89245,0.84193,0.8925,0.56535,1.37428,1.54081,1.65855,0.000109,0.000109,0.000109
92,2275.83,0.14229,0.47627,0.80772,0.91629,0.83428,0.89897,0.56618,1.41649,1.63378,1.6838,9.91e-05,9.91e-05,9.91e-05
93,2300.21,0.13629,0.46891,0.80814,0.91794,0.83738,0.9047,0.57235,1.41177,1.58588,1.68892,8.92e-05,8.92e-05,8.92e-05
94,2324.5,0.13579,0.46632,0.80557,0.90182,0.85458,0.9029,0.57063,1.40126,1.58327,1.67938,7.93e-05,7.93e-05,7.93e-05
95,2348.85,0.12972,0.46189,0.79997,0.90476,0.84724,0.90365,0.57327,1.40509,1.52963,1.68165,6.94e-05,6.94e-05,6.94e-05
96,2373.22,0.12986,0.45948,0.80276,0.90242,0.85458,0.90368,0.57609,1.40298,1.57507,1.66954,5.95e-05,5.95e-05,5.95e-05
97,2397.59,0.12993,0.45613,0.79948,0.89981,0.85688,0.90533,0.57446,1.39405,1.58203,1.66735,4.96e-05,4.96e-05,4.96e-05
98,2421.85,0.12677,0.45221,0.8034,0.89382,0.85705,0.90448,0.57695,1.40284,1.59197,1.68341,3.97e-05,3.97e-05,3.97e-05
99,2446.16,0.1279,0.45372,0.80468,0.8996,0.84514,0.90044,0.57592,1.40812,1.57721,1.67246,2.98e-05,2.98e-05,2.98e-05
100,2470.4,0.12853,0.45865,0.80417,0.90538,0.84614,0.90188,0.57591,1.4118,1.57102,1.67125,1.99e-05,1.99e-05,1.99e-05
