                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.77777,                0.64787,                 1.2656,                0.95632,                0.70351,                 1.2604,                0.88314,                0.77294,                 0.8425,                0.48147,                 1.3145,                 0.7154,                 1.6365,                  1.538,                0.80779,                 1.5838,              0.0005776,              0.0005776,              0.0005776
                     67,                0.77187,                0.64202,                 1.2644,                0.95296,                0.70232,                  1.259,                0.84517,                0.78984,                 0.8443,                0.48335,                 1.3063,                0.73119,                 1.6084,                 1.5222,                0.78873,                 1.5844,               0.000571,               0.000571,               0.000571
                     68,                0.76855,                0.64384,                 1.2651,                0.95526,                0.70484,                 1.2623,                 0.8661,                0.78203,                0.84621,                0.48883,                 1.3472,                0.73662,                 1.6548,                 1.5529,                0.80207,                 1.6122,              0.0005644,              0.0005644,              0.0005644
                     69,                0.78378,                0.64367,                  1.259,                0.97016,                 0.7037,                 1.2474,                0.85243,                0.77179,                  0.833,                0.47053,                 1.3814,                0.75058,                 1.6382,                 1.5325,                0.88069,                 1.5828,              0.0005578,              0.0005578,              0.0005578
                     70,                0.77504,                0.64392,                 1.2597,                0.95427,                0.70781,                 1.2518,                0.82883,                0.80049,                0.84311,                0.47191,                 1.3781,                0.74643,                 1.6646,                 1.5724,                0.83077,                 1.6048,              0.0005512,              0.0005512,              0.0005512
                     71,                0.77794,                 0.6433,                 1.2489,                0.97583,                0.70525,                 1.2389,                0.85275,                0.81203,                0.85298,                0.47768,                 1.3431,                0.69974,                 1.6531,                 1.5473,                0.78223,                 1.6088,              0.0005446,              0.0005446,              0.0005446
                     72,                 0.7637,                0.63975,                 1.2597,                0.94564,                0.70881,                 1.2557,                0.83692,                0.79997,                 0.8354,                0.47508,                 1.3551,                0.72427,                 1.6525,                  1.569,                0.81467,                 1.6076,               0.000538,               0.000538,               0.000538
                     73,                 0.7748,                0.64304,                 1.2474,                0.96537,                0.71507,                  1.239,                0.84768,                0.76996,                0.83962,                0.47285,                 1.3571,                0.73434,                 1.6483,                 1.5845,                 0.7849,                 1.6194,              0.0005314,              0.0005314,              0.0005314
                     74,                0.75499,                0.63326,                 1.2497,                  0.944,                0.69026,                 1.2407,                0.86432,                0.75021,                 0.8319,                0.47784,                 1.3471,                0.74151,                  1.651,                 1.5223,                0.85723,                 1.5798,              0.0005248,              0.0005248,              0.0005248
                     75,                0.72661,                0.61827,                 1.2339,                  0.917,                0.67493,                 1.2278,                0.84092,                0.81184,                0.84881,                0.48027,                 1.3732,                 0.7276,                 1.6662,                 1.5605,                0.80161,                 1.6152,              0.0005182,              0.0005182,              0.0005182
                     76,                0.74603,                0.62544,                 1.2386,                 0.9342,                 0.6936,                 1.2355,                0.86536,                 0.7809,                0.83791,                0.47754,                 1.3061,                0.71861,                 1.6039,                 1.4907,                0.81494,                 1.5571,              0.0005116,              0.0005116,              0.0005116
                     77,                0.73881,                0.61819,                 1.2413,                0.92351,                0.67731,                  1.233,                0.88485,                0.77522,                 0.8475,                0.47912,                 1.3324,                0.73317,                 1.6319,                 1.5273,                0.81277,                 1.5856,               0.000505,               0.000505,               0.000505
                     78,                0.73578,                0.61762,                 1.2479,                0.91337,                0.67272,                 1.2467,                0.87635,                0.77354,                0.84149,                0.47585,                 1.3346,                0.75467,                 1.6243,                 1.5586,                0.83277,                 1.6115,              0.0004984,              0.0004984,              0.0004984
                     79,                0.75884,                0.62246,                 1.2399,                0.95044,                0.68202,                 1.2354,                0.87388,                0.74926,                0.84375,                0.47748,                 1.3217,                0.71768,                 1.6081,                  1.519,                 0.8461,                 1.5677,              0.0004918,              0.0004918,              0.0004918
                     80,                0.74075,                0.61156,                 1.2335,                0.91708,                0.67462,                 1.2263,                0.88785,                0.77354,                0.85144,                0.48083,                 1.3276,                0.72704,                 1.6218,                 1.5341,                0.83667,                 1.5835,              0.0004852,              0.0004852,              0.0004852
                     81,                0.72772,                0.60583,                 1.2231,                0.89869,                0.65679,                  1.215,                0.87041,                0.77525,                0.85041,                0.47713,                 1.3584,                0.71728,                 1.6568,                 1.5351,                0.84514,                 1.6116,              0.0004786,              0.0004786,              0.0004786
                     82,                0.74086,                0.62573,                 1.2347,                0.93089,                0.69267,                 1.2331,                0.86306,                0.78197,                0.84025,                0.48285,                 1.3757,                0.72065,                 1.6613,                 1.5709,                0.81615,                 1.6116,               0.000472,               0.000472,               0.000472
                     83,                0.72129,                0.61082,                 1.2379,                0.90266,                0.66211,                 1.2344,                0.88144,                0.76732,                0.84047,                0.47698,                 1.3598,                0.71893,                 1.6641,                 1.5375,                0.84105,                 1.6179,              0.0004654,              0.0004654,              0.0004654
                     84,                0.73189,                0.61029,                 1.2329,                0.90362,                0.65593,                 1.2284,                0.84667,                0.81138,                0.85176,                0.48417,                 1.3599,                0.70595,                 1.6315,                 1.6351,                0.78093,                 1.6152,              0.0004588,              0.0004588,              0.0004588
                     85,                0.72772,                0.60861,                 1.2307,                0.90142,                0.65463,                 1.2246,                0.84139,                0.80307,                0.84901,                0.48274,                 1.3437,                0.70832,                 1.6445,                 1.5468,                0.77695,                 1.6058,              0.0004522,              0.0004522,              0.0004522
                     86,                0.71799,                0.60445,                  1.222,                 0.8986,                 0.6526,                 1.2189,                0.84121,                0.78988,                0.84816,                0.48579,                  1.353,                0.72241,                 1.6544,                 1.5742,                0.81193,                 1.6307,              0.0004456,              0.0004456,              0.0004456
                     87,                0.70096,                0.59282,                 1.2244,                0.87226,                0.64166,                 1.2204,                0.88173,                0.80601,                0.85409,                 0.4862,                 1.3458,                0.72865,                 1.6366,                 1.5557,                0.81854,                 1.5997,               0.000439,               0.000439,               0.000439
                     88,                0.72052,                0.60052,                 1.2165,                0.91704,                0.66111,                 1.2151,                0.84696,                0.82059,                0.85235,                 0.4768,                 1.3668,                0.73019,                 1.6708,                 1.5691,                0.79968,                 1.6333,              0.0004324,              0.0004324,              0.0004324
                     89,                0.69245,                0.59092,                  1.208,                0.87097,                0.64231,                 1.2065,                0.85498,                0.80195,                0.84486,                0.48064,                 1.3855,                0.72733,                 1.6975,                 1.6039,                0.81819,                 1.6339,              0.0004258,              0.0004258,              0.0004258
                     90,                0.69798,                0.59729,                 1.2106,                0.87528,                0.64915,                 1.2086,                0.89828,                0.77488,                0.84998,                0.47907,                 1.3396,                0.71682,                 1.6497,                 1.5552,                0.81088,                 1.6076,              0.0004192,              0.0004192,              0.0004192
                     91,                0.69905,                0.58704,                 1.1969,                0.88187,                0.63536,                 1.1929,                 0.8896,                0.77224,                0.84374,                 0.4754,                 1.3691,                0.73528,                 1.6459,                 1.5404,                0.84921,                 1.5909,              0.0004126,              0.0004126,              0.0004126
                     92,                0.68784,                0.58822,                 1.2061,                0.87483,                0.63497,                 1.1992,                0.85928,                0.78836,                0.83201,                 0.4764,                 1.3963,                0.72276,                 1.6944,                 1.5858,                0.80517,                 1.6356,               0.000406,               0.000406,               0.000406
                     93,                0.68725,                0.58366,                 1.2033,                0.86508,                0.63243,                 1.1987,                0.85192,                0.79193,                0.83495,                 0.4618,                 1.4259,                 0.7237,                  1.673,                  1.611,                0.82026,                 1.6254,              0.0003994,              0.0003994,              0.0003994
                     94,                 0.6933,                0.59234,                 1.2067,                0.86413,                0.63716,                 1.2053,                0.85692,                 0.8103,                 0.8489,                0.47944,                 1.3646,                0.71464,                 1.6411,                 1.5895,                0.79884,                 1.6183,              0.0003928,              0.0003928,              0.0003928
                     95,                 0.6842,                 0.5804,                 1.2032,                0.86109,                0.62202,                 1.1989,                0.88233,                0.79854,                0.85221,                0.48137,                 1.3552,                0.71732,                 1.6266,                 1.5246,                 0.8285,                 1.5651,              0.0003862,              0.0003862,              0.0003862
                     96,                0.69399,                0.58437,                 1.2014,                0.88028,                0.62979,                 1.1982,                0.88498,                0.78357,                0.84581,                0.48707,                 1.3813,                0.70934,                 1.6739,                 1.5826,                0.80101,                 1.6368,              0.0003796,              0.0003796,              0.0003796
                     97,                0.68577,                0.57897,                 1.1972,                0.86394,                0.62121,                 1.1975,                0.88295,                0.80502,                0.85846,                 0.4834,                 1.3351,                0.70146,                 1.6543,                 1.5502,                0.78314,                 1.6085,               0.000373,               0.000373,               0.000373
                     98,                0.68209,                0.58464,                 1.1996,                0.86925,                0.63134,                 1.1969,                0.88586,                0.81986,                0.86128,                0.47805,                 1.3655,                0.74102,                 1.6614,                 1.5844,                0.80889,                 1.6163,              0.0003664,              0.0003664,              0.0003664
                     99,                0.65769,                0.56866,                 1.1962,                0.83571,                 0.6062,                 1.1973,                 0.8634,                0.79764,                0.85264,                0.48607,                 1.3677,                0.70044,                 1.6565,                 1.5616,                0.78468,                 1.6147,              0.0003598,              0.0003598,              0.0003598
                    100,                0.66331,                0.56411,                 1.1829,                 0.8454,                0.60511,                  1.182,                0.89349,                0.77671,                0.84092,                 0.4736,                 1.3902,                0.71923,                 1.6685,                  1.572,                0.82009,                 1.5987,              0.0003532,              0.0003532,              0.0003532
