               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  57,              1.5802,             0.87389,              1.6319,             0.90021,             0.85485,             0.89586,             0.55595,                   0,                   0,                   0,             0.00384,             0.00384,             0.00384
                  58,              1.5835,             0.86803,              1.6312,             0.90155,             0.85341,             0.89793,             0.56067,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  59,              1.5691,             0.85996,              1.6238,             0.92018,              0.8333,             0.89967,             0.55852,                   0,                   0,                   0,             0.00362,             0.00362,             0.00362
                  60,              1.5885,             0.87696,              1.6237,             0.91271,              0.8438,             0.90346,             0.55734,                   0,                   0,                   0,             0.00351,             0.00351,             0.00351
                  61,              1.5781,             0.86343,              1.6157,             0.90085,             0.85117,             0.89628,             0.55405,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  62,              1.5513,             0.83956,              1.6053,             0.91241,             0.83505,             0.89686,             0.55949,                   0,                   0,                   0,             0.00329,             0.00329,             0.00329
                  63,              1.5632,             0.86712,              1.6235,             0.89976,             0.84565,              0.8935,             0.56203,                   0,                   0,                   0,             0.00318,             0.00318,             0.00318
                  64,              1.5694,             0.84655,              1.6169,             0.92338,             0.83047,              0.9008,             0.56207,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  65,              1.5653,             0.85099,              1.6139,             0.89056,             0.85469,             0.89843,             0.56428,                   0,                   0,                   0,             0.00296,             0.00296,             0.00296
                  66,              1.5783,              0.8526,              1.6366,              0.9267,             0.84185,             0.89973,             0.56523,                   0,                   0,                   0,             0.00285,             0.00285,             0.00285
                  67,              1.5942,             0.85941,              1.6164,             0.91502,             0.84445,             0.90234,             0.56182,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  68,              1.5633,             0.85339,              1.6112,             0.91769,             0.84273,              0.9022,             0.55956,                   0,                   0,                   0,             0.00263,             0.00263,             0.00263
                  69,              1.5659,             0.84442,              1.6034,             0.90038,             0.84995,             0.90332,             0.56778,                   0,                   0,                   0,             0.00252,             0.00252,             0.00252
                  70,              1.5604,             0.84327,              1.6076,             0.90729,             0.83417,             0.89862,             0.56637,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                  71,              1.5506,             0.83179,              1.5982,             0.90594,             0.84641,             0.89994,             0.56502,                   0,                   0,                   0,              0.0023,              0.0023,              0.0023
                  72,              1.5618,             0.84104,               1.605,             0.89982,             0.84929,             0.89685,             0.56242,                   0,                   0,                   0,             0.00219,             0.00219,             0.00219
                  73,               1.564,             0.84311,              1.6203,              0.9227,             0.83141,             0.90274,             0.56365,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  74,              1.5664,             0.84888,              1.6116,             0.91281,             0.84732,             0.90286,             0.56286,                   0,                   0,                   0,             0.00197,             0.00197,             0.00197
                  75,              1.5431,             0.83234,              1.6145,             0.91442,             0.84445,              0.9005,             0.56819,                   0,                   0,                   0,             0.00186,             0.00186,             0.00186
                  76,              1.5496,             0.83624,              1.6068,             0.91545,             0.83805,             0.90424,             0.57138,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                  77,              1.5546,             0.83131,              1.6136,             0.91588,             0.83538,             0.90164,             0.56882,                   0,                   0,                   0,             0.00164,             0.00164,             0.00164
                  78,              1.5662,             0.83828,              1.6175,             0.92335,             0.83297,             0.89967,             0.56701,                   0,                   0,                   0,             0.00153,             0.00153,             0.00153
                  79,              1.5366,             0.82878,              1.6089,             0.90319,             0.84339,             0.90176,                0.57,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                  80,               1.548,             0.82418,              1.5806,             0.88784,             0.85523,             0.90103,             0.56649,                   0,                   0,                   0,             0.00131,             0.00131,             0.00131
                  81,              1.5213,             0.81071,               1.591,             0.91808,             0.83483,             0.89738,             0.56121,                   0,                   0,                   0,              0.0012,              0.0012,              0.0012
                  82,              1.5362,             0.82302,              1.6113,             0.92022,             0.83024,             0.89699,             0.56149,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  83,              1.5558,             0.83475,              1.6104,             0.92026,              0.8386,             0.90209,             0.56496,                   0,                   0,                   0,             0.00098,             0.00098,             0.00098
                  84,              1.5462,             0.83365,              1.6136,               0.915,             0.83509,              0.9022,              0.5625,                   0,                   0,                   0,             0.00087,             0.00087,             0.00087
                  85,              1.5536,             0.82086,               1.612,              0.9288,             0.83652,             0.90609,              0.5671,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
                  86,              1.5494,             0.82993,              1.6183,             0.91252,              0.8441,             0.90618,             0.56791,                   0,                   0,                   0,             0.00065,             0.00065,             0.00065
                  87,              1.5259,             0.79972,              1.5976,             0.91845,             0.83723,             0.90402,             0.56763,                   0,                   0,                   0,             0.00054,             0.00054,             0.00054
                  88,              1.5495,             0.81342,              1.6082,             0.91632,             0.82781,             0.90154,             0.56514,                   0,                   0,                   0,             0.00043,             0.00043,             0.00043
                  89,              1.5566,             0.80879,              1.6067,             0.92808,             0.82796,             0.90286,              0.5677,                   0,                   0,                   0,             0.00032,             0.00032,             0.00032
