                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.90124,                0.73366,                 1.3463,                 1.0965,                0.82375,                 1.3253,                0.88766,                0.75322,                0.84278,                0.48375,                 1.3423,                0.77805,                 1.6335,                 1.4785,                0.90527,                 1.5453,              0.0007162,              0.0007162,              0.0007162
                     46,                0.86754,                0.70956,                 1.3296,                 1.0513,                0.78109,                 1.3158,                0.84349,                0.77085,                0.82613,                0.46666,                 1.3229,                0.77113,                 1.6175,                 1.5518,                0.82025,                 1.5932,              0.0007096,              0.0007096,              0.0007096
                     47,                0.85674,                0.70287,                 1.3109,                 1.0632,                0.79328,                 1.2974,                0.83128,                0.78726,                0.83443,                0.47511,                 1.3821,                0.76341,                 1.6664,                 1.6312,                0.80952,                 1.6389,               0.000703,               0.000703,               0.000703
                     48,                0.87399,                0.71324,                 1.3389,                 1.0504,                0.78458,                 1.3278,                0.85361,                0.77814,                0.84188,                0.47043,                  1.354,                0.75629,                 1.6606,                 1.5704,                0.79351,                 1.6287,              0.0006964,              0.0006964,              0.0006964
                     49,                0.86387,                 0.7114,                 1.3363,                 1.0493,                0.78343,                 1.3281,                0.85467,                0.75992,                0.82965,                0.47273,                 1.3673,                0.79178,                 1.6445,                 1.5805,                0.87037,                 1.6044,              0.0006898,              0.0006898,              0.0006898
                     50,                 0.8494,                0.69263,                 1.3196,                 1.0149,                0.75261,                 1.3106,                 0.8677,                 0.7633,                0.83367,                0.48196,                 1.3287,                0.76828,                 1.6153,                 1.5125,                  0.869,                 1.5551,              0.0006832,              0.0006832,              0.0006832
                     51,                0.84822,                0.70321,                 1.3108,                 1.0442,                0.77762,                 1.3019,                0.88258,                0.75407,                0.84281,                0.47893,                 1.3366,                0.76175,                 1.6536,                 1.5433,                0.80802,                 1.5955,              0.0006766,              0.0006766,              0.0006766
                     52,                 0.8517,                 0.7004,                 1.3249,                 1.0451,                0.77195,                 1.3174,                0.84817,                0.78901,                0.84465,                0.47989,                 1.4005,                0.76066,                 1.6473,                 1.5916,                0.78837,                 1.6082,                0.00067,                0.00067,                0.00067
                     53,                0.85938,                0.68979,                 1.3212,                 1.0389,                0.75353,                 1.3078,                0.89329,                0.74508,                0.83957,                0.48645,                 1.3398,                0.76268,                 1.6324,                 1.4963,                0.84924,                 1.5548,              0.0006634,              0.0006634,              0.0006634
                     54,                0.82979,                0.68574,                 1.3047,                 1.0238,                0.75824,                  1.298,                0.87196,                0.74885,                0.83666,                0.48266,                 1.3813,                0.75601,                 1.6719,                 1.5361,                  0.814,                  1.592,              0.0006568,              0.0006568,              0.0006568
                     55,                0.84257,                0.67676,                 1.3057,                 1.0291,                0.73686,                 1.2913,                0.88119,                0.77475,                0.85474,                 0.5011,                 1.3359,                 0.7314,                 1.6135,                 1.5217,                0.79853,                 1.5649,              0.0006502,              0.0006502,              0.0006502
                     56,                0.84307,                 0.6832,                 1.3187,                 1.0258,                0.74764,                 1.3068,                0.88747,                0.76396,                0.84725,                0.48504,                 1.3429,                0.73488,                 1.6184,                 1.5518,                0.79753,                 1.5686,              0.0006436,              0.0006436,              0.0006436
                     57,                0.81623,                0.67032,                  1.299,                 1.0128,                0.72396,                 1.2959,                0.89012,                0.76965,                0.84988,                0.49244,                 1.3679,                0.76085,                 1.6637,                 1.5639,                0.79767,                 1.6061,               0.000637,               0.000637,               0.000637
                     58,                0.82211,                0.67649,                 1.2931,                  1.009,                0.74241,                 1.2801,                0.83463,                0.78436,                0.81875,                0.46688,                 1.3907,                0.76927,                 1.6698,                 1.5638,                0.86463,                 1.6078,              0.0006304,              0.0006304,              0.0006304
                     59,                0.83509,                0.67017,                 1.2991,                  1.026,                0.72861,                 1.2861,                0.87026,                0.78361,                0.84791,                0.48642,                 1.3488,                0.75038,                 1.6478,                 1.5355,                0.83712,                 1.5852,              0.0006238,              0.0006238,              0.0006238
                     60,                0.81516,                0.66996,                 1.2894,                 0.9937,                0.73099,                 1.2824,                0.88276,                0.77918,                0.85163,                0.48259,                 1.3384,                0.73806,                 1.6337,                 1.5314,                0.80809,                 1.5623,              0.0006172,              0.0006172,              0.0006172
                     61,                0.81895,                0.65964,                 1.2809,                 1.0169,                0.71176,                 1.2692,                0.83202,                0.79575,                0.84522,                0.47694,                 1.3442,                0.74401,                 1.6806,                  1.485,                0.83422,                 1.5729,              0.0006106,              0.0006106,              0.0006106
                     62,                0.78708,                0.65519,                 1.2836,                0.96507,                0.70329,                 1.2773,                0.84324,                0.79949,                0.83689,                0.48077,                 1.3319,                0.76545,                 1.6441,                 1.5139,                0.83797,                 1.5737,               0.000604,               0.000604,               0.000604
                     63,                0.82101,                0.66325,                 1.2849,                 1.0123,                0.71375,                 1.2726,                0.87108,                0.79919,                0.85504,                0.48549,                 1.3418,                0.72605,                 1.6423,                 1.5943,                0.77656,                 1.6052,              0.0005974,              0.0005974,              0.0005974
                     64,                0.82524,                0.65824,                 1.2861,                 1.0142,                0.71966,                 1.2744,                0.87821,                0.80518,                0.85523,                0.49051,                 1.3458,                0.72719,                 1.6267,                 1.5046,                0.81853,                 1.5651,              0.0005908,              0.0005908,              0.0005908
                     65,                 0.7786,                0.64708,                 1.2662,                0.96076,                0.69636,                 1.2549,                0.90155,                0.75473,                0.84202,                0.47668,                 1.3885,                0.74497,                 1.6621,                 1.5664,                0.82964,                 1.6062,              0.0005842,              0.0005842,              0.0005842
                     66,                 0.7926,                0.64919,                 1.2731,                0.97458,                0.70055,                 1.2662,                0.87503,                0.78911,                0.84597,                 0.4791,                 1.3736,                0.74018,                 1.6573,                 1.5542,                0.83216,                  1.585,              0.0005776,              0.0005776,              0.0005776
                     67,                0.77875,                0.64335,                 1.2668,                0.96244,                0.69451,                 1.2639,                0.89527,                0.79734,                0.85422,                0.48934,                 1.3004,                0.74155,                  1.595,                 1.4987,                0.76198,                 1.5608,               0.000571,               0.000571,               0.000571
                     68,                0.76518,                0.64222,                 1.2636,                0.95085,                0.69664,                 1.2584,                0.89572,                0.79061,                0.85864,                 0.5004,                 1.3282,                0.71603,                 1.6433,                 1.4532,                0.84011,                 1.5724,              0.0005644,              0.0005644,              0.0005644
                     69,                0.78841,                0.64269,                 1.2626,                0.97947,                0.68766,                 1.2514,                0.85316,                0.78868,                0.84708,                0.46921,                 1.3835,                0.76017,                 1.6448,                 1.5641,                0.81083,                 1.5935,              0.0005578,              0.0005578,              0.0005578
                     70,                0.77664,                0.63891,                  1.259,                0.95954,                0.69282,                 1.2518,                0.87872,                0.77736,                 0.8518,                 0.4886,                 1.3682,                0.74111,                 1.6435,                 1.5267,                0.80531,                 1.5656,              0.0005512,              0.0005512,              0.0005512
                     71,                0.77738,                 0.6367,                 1.2481,                0.97987,                0.68904,                 1.2378,                0.89526,                0.80141,                0.85548,                0.48778,                 1.3262,                0.70801,                 1.6456,                 1.4998,                0.80012,                 1.6007,              0.0005446,              0.0005446,              0.0005446
                     72,                0.76485,                 0.6338,                 1.2584,                0.95707,                0.68595,                  1.258,                0.86573,                0.79375,                0.85104,                0.48808,                 1.3245,                 0.7133,                 1.6444,                 1.5223,                0.79275,                 1.5816,               0.000538,               0.000538,               0.000538
                     73,                0.77893,                0.63775,                 1.2477,                0.97503,                0.68785,                  1.241,                0.88796,                0.79061,                0.86207,                0.49097,                  1.379,                0.74319,                 1.6428,                 1.5383,                0.82349,                 1.5722,              0.0005314,              0.0005314,              0.0005314
                     74,                0.75406,                0.62411,                 1.2498,                0.94907,                0.66764,                 1.2452,                0.87573,                0.78883,                0.85156,                0.48672,                 1.3354,                0.73576,                 1.6393,                 1.5155,                0.80812,                 1.5903,              0.0005248,              0.0005248,              0.0005248
                     75,                0.73926,                0.61819,                  1.238,                0.93716,                0.66754,                 1.2361,                 0.8688,                0.79393,                0.85815,                0.48562,                 1.3747,                0.71859,                 1.6448,                 1.6035,                0.76277,                 1.6282,              0.0005182,              0.0005182,              0.0005182
                     76,                0.74532,                0.61994,                 1.2378,                0.92978,                0.66893,                 1.2347,                0.86128,                0.80686,                0.85167,                0.49023,                 1.3398,                0.72006,                 1.6414,                 1.5352,                0.78455,                 1.5957,              0.0005116,              0.0005116,              0.0005116
                     77,                0.73994,                0.61894,                 1.2413,                0.92873,                0.65764,                 1.2341,                0.85202,                  0.798,                0.84989,                0.47945,                 1.3604,                0.74818,                  1.652,                 1.5414,                0.82184,                 1.5894,               0.000505,               0.000505,               0.000505
                     78,                0.74035,                0.61287,                 1.2493,                 0.9192,                0.64374,                 1.2494,                0.88137,                0.78929,                0.84189,                0.47653,                 1.3482,                0.72561,                 1.6455,                 1.5711,                0.76394,                 1.5964,              0.0004984,              0.0004984,              0.0004984
                     79,                0.77289,                 0.6194,                 1.2429,                0.96451,                0.65926,                 1.2382,                0.84797,                0.80468,                0.84954,                0.48071,                 1.3491,                0.71898,                 1.6231,                 1.5707,                0.78739,                 1.5684,              0.0004918,              0.0004918,              0.0004918
                     80,                0.74521,                0.60711,                 1.2318,                0.92836,                0.64957,                 1.2282,                0.86502,                0.79524,                0.85032,                0.48123,                 1.3341,                 0.7185,                  1.621,                  1.536,                0.79911,                 1.5949,              0.0004852,              0.0004852,              0.0004852
                     81,                0.73516,                0.60321,                 1.2236,                0.90912,                0.64016,                 1.2184,                0.86729,                0.81244,                0.85689,                0.48215,                 1.3448,                0.71569,                 1.6493,                 1.5179,                0.80694,                 1.5861,              0.0004786,              0.0004786,              0.0004786
                     82,                 0.7455,                0.62268,                 1.2333,                0.93786,                0.66901,                 1.2306,                0.86866,                 0.8106,                0.85225,                0.47919,                 1.3559,                0.71893,                 1.6533,                  1.548,                0.80292,                  1.572,               0.000472,               0.000472,               0.000472
                     83,                 0.7275,                0.60889,                 1.2414,                0.91487,                0.64763,                 1.2393,                0.91233,                0.77202,                0.85621,                0.48567,                 1.3393,                0.73435,                 1.6509,                 1.5466,                  0.764,                 1.5855,              0.0004654,              0.0004654,              0.0004654
                     84,                0.73327,                0.60499,                 1.2343,                0.90911,                0.63987,                 1.2275,                0.90507,                0.77568,                0.85261,                0.48663,                 1.3744,                0.72357,                 1.6515,                 1.6115,                0.76545,                 1.6192,              0.0004588,              0.0004588,              0.0004588
                     85,                0.72669,                0.60163,                  1.227,                0.90348,                0.63224,                 1.2213,                0.87915,                0.79792,                0.85635,                0.47983,                 1.3734,                0.71734,                 1.6607,                 1.5533,                0.76376,                 1.6003,              0.0004522,              0.0004522,              0.0004522
