                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4834,                 1.0176,                 1.5908,                 1.5876,                 1.2434,                 1.5304,                0.77436,                0.69529,                0.75055,                 0.4074,                 1.7433,                 1.0984,                 1.7637,                 1.8047,                 1.3389,                 1.6168,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.4636,                 1.0076,                 1.5817,                 1.5732,                 1.2484,                 1.5182,                0.81053,                0.67925,                0.76927,                0.41937,                 1.7064,                0.97702,                 1.7198,                 1.8242,                 1.1304,                 1.6454,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.4663,                 0.9976,                 1.5713,                 1.5845,                  1.232,                 1.5078,                0.78186,                0.70519,                0.77289,                0.41762,                 1.6902,                0.98163,                 1.7067,                 1.7709,                 1.2105,                 1.5946,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.4786,                 1.0076,                 1.5875,                   1.59,                 1.2403,                 1.5284,                0.76673,                0.69721,                 0.7681,                0.42237,                 1.6713,                0.99668,                 1.6999,                 1.7619,                  1.174,                 1.6046,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.4465,                0.98114,                 1.5535,                 1.5704,                 1.2092,                 1.4944,                 0.8282,                0.67767,                0.77936,                0.42758,                 1.7022,                0.97783,                 1.6857,                 1.8007,                 1.1724,                  1.591,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.4484,                0.96197,                 1.5458,                 1.5529,                 1.1802,                 1.4866,                0.77419,                0.68173,                0.77297,                0.42956,                 1.7144,                0.99087,                  1.735,                 1.8095,                  1.114,                 1.6223,              0.0006337,              0.0006337,              0.0006337
                     40,                  1.442,                0.98762,                 1.5601,                 1.5583,                 1.2119,                 1.5018,                0.79108,                0.69492,                0.79202,                0.44004,                 1.7062,                0.93183,                 1.7392,                 1.8036,                 1.1223,                 1.6139,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.4287,                 0.9754,                 1.5362,                  1.567,                 1.2021,                 1.4788,                0.80047,                0.70389,                0.78129,                0.44403,                 1.6515,                0.90552,                 1.6737,                 1.7204,                 1.1109,                 1.5645,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.4361,                0.95639,                 1.5466,                 1.5571,                 1.1699,                 1.4895,                0.78479,                0.72924,                0.79021,                0.44542,                 1.7049,                0.93011,                 1.7442,                  1.838,                 1.0802,                 1.6374,               0.000604,               0.000604,               0.000604
                     43,                 1.4222,                0.94611,                 1.5397,                 1.5374,                 1.1706,                 1.4833,                0.79148,                0.71615,                0.78562,                0.44946,                 1.7241,                0.92609,                 1.7438,                 1.8364,                 1.0953,                  1.628,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.4072,                 0.9386,                 1.5443,                 1.5372,                 1.1485,                 1.4972,                0.84615,                0.69056,                0.80191,                0.45108,                  1.741,                0.94716,                 1.7248,                 1.7762,                 1.1064,                 1.5894,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.4041,                0.94135,                 1.5137,                 1.5217,                  1.135,                 1.4607,                0.82139,                0.71496,                0.79941,                0.44383,                 1.7504,                0.91768,                 1.7497,                 1.7994,                 1.0642,                  1.619,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.4002,                0.93536,                 1.5315,                 1.5229,                 1.1391,                 1.4788,                0.82386,                0.72646,                0.79652,                0.45675,                 1.6654,                0.91247,                 1.7107,                 1.7502,                 1.0608,                 1.5964,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.3848,                0.91333,                 1.5039,                 1.5123,                 1.1153,                 1.4552,                0.77128,                0.74628,                0.80558,                0.45128,                 1.6927,                0.93823,                 1.7173,                 1.7471,                  1.078,                 1.5867,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.3805,                0.91404,                 1.5033,                 1.5018,                 1.1116,                 1.4602,                0.81251,                0.69126,                0.79122,                0.44766,                 1.7668,                0.91325,                 1.7897,                 1.7911,                 1.0845,                 1.6219,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.3996,                0.90423,                 1.5091,                 1.5193,                  1.096,                 1.4583,                0.87014,                0.71825,                0.80867,                0.46052,                  1.693,                0.90546,                 1.7324,                 1.7783,                 1.0262,                 1.6755,              0.0005347,              0.0005347,              0.0005347
                     50,                   1.37,                0.89472,                 1.4909,                 1.4997,                 1.0966,                 1.4483,                0.80515,                0.70756,                0.78534,                 0.4553,                 1.6882,                0.95404,                 1.7204,                 1.7987,                 1.1368,                 1.6101,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.3746,                0.89142,                 1.4783,                 1.4996,                 1.0876,                 1.4315,                 0.8249,                0.71245,                0.79652,                0.46191,                 1.6856,                0.90127,                 1.6946,                 1.7641,                 1.0344,                 1.6131,              0.0005149,              0.0005149,              0.0005149
