                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 0.6257,                0.35885,                0.92677,                0.90272,                0.84473,                0.89565,                0.54942,                 1.6046,                0.67807,                  1.606,             0.00067825,             0.00067825,             0.00067825
                     67,                0.61535,                0.35048,                0.91502,                0.89384,                0.85593,                 0.8934,                0.54888,                 1.6108,                  0.706,                 1.5921,              0.0006733,              0.0006733,              0.0006733
                     68,                0.63069,                0.36205,                0.91842,                0.89349,                0.84587,                0.89452,                0.54787,                 1.5976,                0.66887,                 1.5892,             0.00066835,             0.00066835,             0.00066835
                     69,                0.64403,                0.36796,                0.92866,                0.90848,                0.83212,                0.88368,                0.53545,                 1.5663,                0.67674,                 1.5457,              0.0006634,              0.0006634,              0.0006634
                     70,                0.63023,                0.35957,                0.92336,                0.91228,                0.84073,                0.89526,                0.54031,                 1.6115,                0.68675,                 1.6545,             0.00065845,             0.00065845,             0.00065845
                     71,                0.62197,                0.35347,                0.92392,                0.92153,                0.81511,                0.88487,                0.53752,                 1.6294,                0.72728,                 1.6628,              0.0006535,              0.0006535,              0.0006535
                     72,                0.63158,                0.35892,                0.92326,                 0.8958,                0.84438,                0.88502,                0.53905,                 1.5759,                0.67898,                 1.6587,             0.00064855,             0.00064855,             0.00064855
                     73,                0.64584,                0.36235,                0.92473,                0.90439,                0.85722,                0.89644,                0.54369,                 1.5906,                0.68723,                 1.5826,              0.0006436,              0.0006436,              0.0006436
                     74,                0.61821,                0.35044,                0.91488,                0.91057,                0.84721,                0.90201,                0.54932,                 1.6319,                0.67198,                 1.5843,             0.00063865,             0.00063865,             0.00063865
                     75,                0.61689,                0.34926,                0.91997,                0.89837,                0.85133,                0.89264,                0.54873,                 1.5937,                0.68861,                  1.548,              0.0006337,              0.0006337,              0.0006337
                     76,                0.62046,                0.35268,                0.92179,                0.89904,                0.84277,                0.88544,                0.54995,                 1.6089,                0.68759,                 1.6242,             0.00062875,             0.00062875,             0.00062875
                     77,                0.61032,                0.35056,                0.91841,                0.89393,                0.85902,                0.89277,                0.55078,                 1.5605,                0.65477,                 1.5445,              0.0006238,              0.0006238,              0.0006238
                     78,                0.62137,                0.35141,                0.91941,                0.90848,                0.84399,                0.88869,                0.54597,                 1.6115,                0.67369,                 1.6255,             0.00061885,             0.00061885,             0.00061885
                     79,                0.61196,                0.35125,                0.91618,                0.90918,                0.84339,                0.89194,                0.54928,                 1.5615,                 0.6461,                 1.6291,              0.0006139,              0.0006139,              0.0006139
                     80,                0.60792,                 0.3511,                0.91354,                0.89074,                0.85587,                0.89266,                0.54417,                 1.6248,                0.66581,                 1.6171,             0.00060895,             0.00060895,             0.00060895
                     81,                0.60182,                0.34868,                0.91747,                0.91376,                0.84663,                0.89663,                0.54635,                 1.6443,                0.66033,                 1.6111,               0.000604,               0.000604,               0.000604
                     82,                0.60331,                0.34593,                0.91299,                0.90305,                0.84579,                0.89156,                0.54443,                 1.6157,                0.68416,                 1.6137,             0.00059905,             0.00059905,             0.00059905
                     83,                0.58903,                0.33781,                 0.9132,                0.91435,                0.84096,                0.88798,                0.55068,                 1.6255,                0.66794,                 1.6631,              0.0005941,              0.0005941,              0.0005941
                     84,                0.60806,                0.34537,                0.91358,                0.91225,                0.84948,                0.89693,                0.55108,                  1.642,                0.65842,                 1.6725,             0.00058915,             0.00058915,             0.00058915
                     85,                0.60159,                0.34114,                0.91129,                0.92711,                 0.8341,                0.89712,                0.55711,                 1.6071,                0.65393,                 1.6073,              0.0005842,              0.0005842,              0.0005842
                     86,                0.59058,                0.34106,                0.90646,                 0.9108,                0.82894,                0.88261,                0.54187,                 1.6442,                0.68113,                  1.645,             0.00057925,             0.00057925,             0.00057925
                     87,                 0.5987,                0.34005,                0.90938,                0.92311,                0.82542,                0.89115,                0.54575,                 1.6156,                0.66531,                 1.6426,              0.0005743,              0.0005743,              0.0005743
                     88,                0.59931,                0.34124,                0.90931,                0.89942,                0.84004,                0.89647,                0.54237,                 1.6091,                0.67024,                 1.6669,             0.00056935,             0.00056935,             0.00056935
                     89,                0.59274,                0.34056,                0.91184,                 0.8931,                0.86065,                 0.9025,                0.55101,                 1.6222,                0.66856,                 1.6747,              0.0005644,              0.0005644,              0.0005644
                     90,                0.59309,                0.33991,                0.90659,                0.89476,                0.85541,                0.90131,                0.54804,                 1.5932,                0.64371,                 1.6108,             0.00055945,             0.00055945,             0.00055945
                     91,                0.59256,                0.33454,                0.90527,                0.89514,                0.84993,                0.89921,                0.55909,                 1.5779,                0.64818,                 1.6147,              0.0005545,              0.0005545,              0.0005545
                     92,                0.59099,                0.33678,                0.90334,                0.89886,                 0.8686,                0.90616,                0.56027,                 1.5317,                0.63463,                 1.5856,             0.00054955,             0.00054955,             0.00054955
                     93,                 0.5847,                0.33536,                0.90695,                0.90972,                 0.8424,                0.89881,                0.55293,                 1.5534,                 0.6405,                 1.5915,              0.0005446,              0.0005446,              0.0005446
                     94,                0.58276,                0.33105,                0.90852,                0.90347,                0.83691,                0.89954,                0.55673,                 1.6039,                0.64488,                  1.635,             0.00053965,             0.00053965,             0.00053965
                     95,                0.57682,                0.33007,                0.90482,                  0.905,                0.83212,                0.88904,                0.55032,                 1.6448,                0.68177,                 1.7235,              0.0005347,              0.0005347,              0.0005347
                     96,                 0.5798,                0.33291,                0.90962,                0.89109,                0.84782,                 0.8825,                0.54936,                    1.6,                0.67515,                 1.7043,             0.00052975,             0.00052975,             0.00052975
                     97,                0.58853,                0.33582,                 0.9095,                0.93889,                0.82236,                0.89466,                0.56051,                 1.5886,                0.65362,                 1.6096,              0.0005248,              0.0005248,              0.0005248
                     98,                0.59671,                0.34194,                0.90769,                0.89375,                0.85316,                0.89241,                0.54976,                 1.6013,                0.65268,                 1.6177,             0.00051985,             0.00051985,             0.00051985
                     99,                0.60157,                0.34183,                0.91547,                0.91806,                0.83377,                0.90153,                0.55393,                 1.5725,                0.64448,                 1.5732,              0.0005149,              0.0005149,              0.0005149
                    100,                0.57259,                0.33093,                0.90873,                0.87528,                0.85222,                0.88947,                0.55419,                  1.586,                0.64534,                 1.5769,             0.00050995,             0.00050995,             0.00050995
