                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.89056,                0.74069,                 1.3639,                 1.0617,                0.84511,                 1.3411,                0.80977,                0.80926,                0.83014,                0.46168,                   1.35,                0.78552,                 1.6362,                 1.4727,                0.88913,                  1.564,               0.000769,               0.000769,               0.000769
                     38,                0.89176,                0.73925,                 1.3528,                 1.0799,                0.85554,                 1.3314,                0.79328,                0.77039,                0.82001,                0.46454,                  1.351,                0.81418,                 1.6448,                 1.4558,                0.94279,                 1.5539,              0.0007624,              0.0007624,              0.0007624
                     39,                0.89482,                0.73894,                 1.3563,                 1.0758,                0.83555,                 1.3359,                0.84855,                0.75281,                0.83707,                0.46763,                 1.3626,                0.76895,                 1.6581,                 1.5164,                0.90381,                 1.5813,              0.0007558,              0.0007558,              0.0007558
                     40,                0.90438,                0.73631,                  1.349,                  1.086,                0.82449,                 1.3299,                 0.8608,                0.77834,                0.83261,                0.46531,                  1.376,                0.78963,                 1.6704,                  1.572,                0.85666,                 1.6234,              0.0007492,              0.0007492,              0.0007492
                     41,                0.88087,                0.72956,                  1.334,                 1.0756,                0.83861,                 1.3144,                0.86982,                0.75828,                 0.8372,                0.47363,                 1.3237,                0.79823,                 1.6287,                 1.4595,                 0.8785,                   1.55,              0.0007426,              0.0007426,              0.0007426
                     42,                0.85929,                0.72197,                 1.3357,                 1.0449,                 0.8294,                 1.3198,                0.85282,                0.76874,                0.83481,                 0.4708,                 1.3175,                0.78444,                 1.6284,                 1.4652,                0.87554,                 1.5607,               0.000736,               0.000736,               0.000736
                     43,                0.86981,                0.72061,                 1.3522,                 1.0396,                0.82478,                  1.332,                0.86912,                0.75371,                0.83733,                0.46421,                 1.3344,                 0.7884,                 1.6304,                 1.5052,                0.88877,                 1.5764,              0.0007294,              0.0007294,              0.0007294
                     44,                0.85197,                0.70823,                 1.3348,                 1.0261,                0.80254,                 1.3188,                0.82929,                0.78287,                0.83471,                0.47329,                 1.3592,                0.79079,                 1.6317,                 1.5192,                 0.9076,                 1.5697,              0.0007228,              0.0007228,              0.0007228
                     45,                0.91053,                0.73898,                 1.3551,                 1.1038,                0.84813,                 1.3285,                0.81955,                 0.7621,                0.81859,                0.46394,                 1.3681,                0.79222,                 1.6446,                 1.5456,                0.92081,                 1.5729,              0.0007162,              0.0007162,              0.0007162
                     46,                 0.8575,                0.70957,                 1.3314,                 1.0327,                0.80626,                 1.3107,                0.85369,                0.77494,                0.83018,                 0.4754,                 1.3034,                0.77424,                 1.6257,                  1.518,                0.80204,                 1.5844,              0.0007096,              0.0007096,              0.0007096
                     47,                 0.8439,                0.69773,                 1.3105,                 1.0445,                0.79882,                 1.2938,                0.81435,                0.76546,                0.83027,                0.47083,                 1.3199,                0.77004,                 1.6307,                 1.5138,                0.86058,                 1.5653,               0.000703,               0.000703,               0.000703
                     48,                0.85888,                0.70568,                 1.3384,                  1.036,                0.79593,                 1.3238,                0.84303,                0.75944,                0.84036,                0.47372,                 1.3454,                0.75925,                  1.675,                 1.5032,                0.88803,                 1.6202,              0.0006964,              0.0006964,              0.0006964
                     49,                0.85458,                0.71054,                 1.3391,                 1.0393,                0.80742,                 1.3251,                0.85107,                0.76422,                0.83471,                0.47366,                 1.3618,                0.77343,                 1.6484,                  1.513,                0.89549,                 1.5906,              0.0006898,              0.0006898,              0.0006898
                     50,                0.83844,                0.69264,                 1.3208,                 1.0041,                0.78086,                 1.3114,                0.84541,                0.76729,                0.83063,                0.47455,                 1.3264,                0.75092,                 1.6219,                 1.4743,                0.86199,                 1.5561,              0.0006832,              0.0006832,              0.0006832
                     51,                0.83294,                0.70104,                 1.3077,                 1.0261,                0.79486,                 1.2969,                0.87039,                0.76149,                0.83645,                0.47526,                 1.3648,                0.75893,                 1.6705,                  1.545,                0.83787,                 1.6064,              0.0006766,              0.0006766,              0.0006766
