                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.48365,                0.28103,                0.88091,                 0.9116,                0.83215,                0.88604,                0.54434,                 1.5278,                0.73215,                 1.7864,             0.00088368,             0.00088368,             0.00088368
                     49,                0.48779,                0.28108,                0.88074,                0.91286,                0.82543,                0.88553,                 0.5471,                 1.5471,                0.72288,                 1.8162,              0.0008812,              0.0008812,              0.0008812
                     50,                0.48641,                 0.2824,                0.88098,                0.90892,                0.84064,                0.89511,                0.54432,                 1.5966,                0.72332,                 1.8363,             0.00087873,             0.00087873,             0.00087873
                     51,                0.48835,                0.28108,                0.88175,                0.89282,                0.84222,                 0.8891,                0.54352,                 1.5604,                0.69553,                 1.8312,             0.00087625,             0.00087625,             0.00087625
                     52,                0.47562,                0.27499,                0.88118,                0.92672,                0.82472,                0.88774,                0.55623,                  1.564,                0.72006,                 1.8538,             0.00087378,             0.00087378,             0.00087378
                     53,                0.48758,                0.28348,                0.88068,                0.87331,                0.84873,                0.88832,                0.53885,                 1.5856,                0.76315,                 1.8745,              0.0008713,              0.0008713,              0.0008713
                     54,                0.47606,                 0.2791,                0.88262,                 0.9026,                0.85101,                0.89284,                0.54582,                 1.5435,                0.78532,                 1.7862,             0.00086882,             0.00086882,             0.00086882
                     55,                0.47684,                0.27766,                0.87816,                0.90219,                0.84615,                0.88715,                 0.5513,                 1.5815,                0.78558,                  1.846,             0.00086635,             0.00086635,             0.00086635
                     56,                0.47471,                0.27567,                0.87606,                0.89795,                0.84738,                0.89266,                0.54676,                 1.6199,                 0.7148,                 1.8996,             0.00086388,             0.00086388,             0.00086388
                     57,                0.48005,                0.27787,                0.88379,                0.89953,                0.85119,                 0.8955,                0.54717,                 1.6044,                0.70694,                 1.8626,              0.0008614,              0.0008614,              0.0008614
                     58,                0.47086,                0.27447,                0.87698,                  0.918,                0.84134,                0.89334,                0.55178,                 1.5499,                0.68787,                 1.8232,             0.00085893,             0.00085893,             0.00085893
                     59,                0.47772,                0.27879,                0.87507,                 0.8919,                0.82567,                0.88135,                0.54803,                 1.5565,                0.70566,                 1.8622,             0.00085645,             0.00085645,             0.00085645
                     60,                0.47594,                0.27951,                0.88172,                0.91871,                0.82239,                0.89004,                0.54632,                  1.561,                0.72947,                 1.8576,             0.00085398,             0.00085398,             0.00085398
                     61,                0.48645,                0.28374,                0.88173,                0.91631,                0.81786,                0.88583,                0.54283,                 1.5411,                0.76388,                 1.8352,              0.0008515,              0.0008515,              0.0008515
                     62,                0.47448,                0.27683,                0.87998,                0.90489,                0.83894,                0.88937,                0.54988,                 1.5656,                 0.7378,                 1.9533,             0.00084902,             0.00084902,             0.00084902
                     63,                0.46986,                0.27595,                0.88136,                0.90639,                0.85534,                0.89604,                0.55252,                  1.522,                0.67974,                 1.8709,             0.00084655,             0.00084655,             0.00084655
                     64,                0.48544,                0.28372,                0.87941,                0.89783,                0.85231,                0.88743,                0.54853,                 1.5292,                0.72295,                  1.857,             0.00084408,             0.00084408,             0.00084408
                     65,                0.46898,                0.27357,                0.87437,                0.89987,                0.85516,                0.88427,                0.53759,                 1.5462,                0.69976,                 1.8473,              0.0008416,              0.0008416,              0.0008416
                     66,                0.47823,                0.28161,                0.88365,                0.91585,                0.83929,                0.88691,                0.54622,                 1.5287,                0.71038,                 1.8462,             0.00083913,             0.00083913,             0.00083913
                     67,                0.46874,                0.27373,                0.87133,                0.92876,                0.83326,                0.89374,                0.54581,                 1.5033,                0.70434,                 1.8207,             0.00083665,             0.00083665,             0.00083665
                     68,                0.46873,                0.27545,                0.87098,                0.91455,                0.83581,                0.88396,                0.54162,                 1.5597,                0.67648,                 1.8506,             0.00083418,             0.00083418,             0.00083418
                     69,                0.48292,                0.27905,                0.88043,                0.91686,                0.83589,                0.89216,                0.54519,                 1.5573,                0.66276,                 1.8483,              0.0008317,              0.0008317,              0.0008317
                     70,                0.46401,                0.27043,                0.87102,                0.90473,                0.85206,                0.89857,                0.55355,                 1.5465,                0.68542,                 1.8343,             0.00082923,             0.00082923,             0.00082923
                     71,                0.46656,                0.27103,                0.87624,                0.89929,                0.84023,                0.89513,                0.54705,                 1.5525,                0.71498,                 1.8316,             0.00082675,             0.00082675,             0.00082675
                     72,                0.47154,                0.27367,                0.87616,                0.91805,                0.81453,                0.88061,                0.53914,                 1.5373,                0.72441,                 1.8381,             0.00082427,             0.00082427,             0.00082427
                     73,                0.48235,                0.27598,                0.87859,                0.90166,                0.84975,                0.88477,                0.54524,                 1.5154,                0.71478,                 1.8233,              0.0008218,              0.0008218,              0.0008218
                     74,                0.46238,                0.27037,                0.87092,                0.91233,                0.82006,                0.88152,                0.54128,                 1.5685,                0.73492,                 1.9172,             0.00081932,             0.00081932,             0.00081932
                     75,                0.47082,                0.27354,                0.87618,                0.90362,                0.83531,                0.88397,                0.54867,                 1.5397,                0.70895,                 1.8538,             0.00081685,             0.00081685,             0.00081685
                     76,                0.46254,                 0.2743,                0.87651,                0.91756,                0.83157,                0.89133,                0.55226,                  1.527,                  0.745,                 1.7823,             0.00081437,             0.00081437,             0.00081437
                     77,                 0.4575,                0.26939,                 0.8736,                0.92377,                0.83888,                0.89375,                0.55286,                 1.5333,                0.68007,                 1.8184,              0.0008119,              0.0008119,              0.0008119
                     78,                 0.4681,                0.26863,                0.87383,                0.92447,                0.82382,                0.89177,                0.55216,                 1.5686,                0.69922,                 1.8781,             0.00080943,             0.00080943,             0.00080943
                     79,                0.46664,                0.27192,                0.87368,                0.91762,                0.83625,                0.89051,                0.54656,                  1.533,                0.67265,                 1.8223,             0.00080695,             0.00080695,             0.00080695
                     80,                0.46386,                0.27305,                0.87193,                0.91503,                0.83058,                0.88872,                0.54648,                 1.5567,                0.72537,                 1.8533,             0.00080447,             0.00080447,             0.00080447
                     81,                0.46596,                0.27372,                0.88004,                0.92191,                0.82001,                 0.8866,                0.54879,                  1.568,                0.68836,                  1.929,               0.000802,               0.000802,               0.000802
                     82,                0.46109,                  0.271,                0.87445,                0.89904,                0.82479,                0.87757,                0.54449,                 1.5864,                0.68729,                 1.8615,             0.00079953,             0.00079953,             0.00079953
                     83,                0.45596,                0.26621,                0.87327,                0.91736,                0.81727,                0.88909,                0.55629,                 1.5453,                0.73476,                 1.8327,             0.00079705,             0.00079705,             0.00079705
                     84,                0.47022,                0.26996,                0.87214,                0.91526,                0.82492,                0.88905,                0.55504,                 1.5347,                0.72152,                 1.8512,             0.00079458,             0.00079458,             0.00079458
                     85,                0.45935,                0.26538,                0.87232,                 0.9329,                0.82465,                0.89279,                0.55319,                 1.5913,                0.70941,                 1.8276,              0.0007921,              0.0007921,              0.0007921
                     86,                0.46029,                0.26794,                0.87126,                0.89809,                0.83323,                0.88282,                 0.5438,                 1.5554,                0.72295,                 1.8578,             0.00078963,             0.00078963,             0.00078963
                     87,                0.46577,                   0.27,                0.87277,                0.91522,                0.83731,                0.89442,                0.55454,                 1.5681,                0.70457,                 1.8517,             0.00078715,             0.00078715,             0.00078715
                     88,                 0.4626,                0.26759,                0.86896,                 0.8889,                0.84521,                0.89063,                0.55412,                 1.5673,                0.72587,                 1.8672,             0.00078467,             0.00078467,             0.00078467
                     89,                0.46037,                0.27064,                0.87385,                0.90236,                0.84778,                0.88253,                0.54519,                 1.5627,                0.70805,                 1.8391,              0.0007822,              0.0007822,              0.0007822
                     90,                0.45635,                0.26623,                 0.8713,                 0.9076,                0.84393,                0.89446,                0.54547,                 1.5707,                0.70025,                 1.8614,             0.00077972,             0.00077972,             0.00077972
                     91,                0.46724,                0.27109,                0.87055,                0.90159,                0.83745,                0.88687,                0.55256,                 1.5556,                0.71141,                 1.8916,             0.00077725,             0.00077725,             0.00077725
                     92,                0.45834,                0.26709,                0.86758,                 0.8965,                0.85277,                0.89131,                0.55125,                 1.5329,                0.67358,                 1.8124,             0.00077478,             0.00077478,             0.00077478
                     93,                0.46022,                0.26589,                0.87242,                0.91762,                0.84478,                0.89736,                0.55993,                 1.5743,                0.73133,                 1.8277,              0.0007723,              0.0007723,              0.0007723
                     94,                0.45714,                0.26509,                0.87182,                0.89966,                0.85909,                0.89276,                0.55223,                 1.5783,                0.68783,                 1.8461,             0.00076983,             0.00076983,             0.00076983
                     95,                0.44917,                0.26152,                0.86758,                0.90992,                0.85689,                0.89276,                0.54624,                 1.5556,                0.68499,                 1.8427,             0.00076735,             0.00076735,             0.00076735
                     96,                0.44635,                 0.2625,                 0.8702,                0.90591,                0.83774,                0.88633,                 0.5435,                  1.548,                0.70345,                 1.8688,             0.00076488,             0.00076488,             0.00076488
                     97,                0.45509,                0.26659,                 0.8724,                0.91297,                0.82465,                0.88092,                0.54427,                 1.5672,                0.71339,                 1.9104,              0.0007624,              0.0007624,              0.0007624
                     98,                0.45914,                0.26889,                0.87098,                 0.8772,                0.85402,                0.88628,                0.55443,                 1.5608,                0.74336,                 1.9427,             0.00075993,             0.00075993,             0.00075993
                     99,                0.46181,                0.26582,                0.87445,                0.93157,                0.82512,                0.89077,                0.54639,                 1.5792,                0.68629,                 1.9244,             0.00075745,             0.00075745,             0.00075745
                    100,                0.44441,                0.25957,                0.87366,                0.91568,                 0.8349,                0.88824,                0.54769,                  1.545,                0.67807,                 1.8733,             0.00075497,             0.00075497,             0.00075497
                    101,                0.45178,                0.26492,                0.86827,                0.89287,                0.84603,                0.88575,                0.54511,                 1.5618,                 0.7241,                 1.8668,              0.0007525,              0.0007525,              0.0007525
